" - Edit"," - Edit"
"",""
"API Key","API Key"
"API Secret","API Secret"
"Account Name","Account Name"
"Account was saved","Account was saved"
"Account was successfully deleted.","Account was successfully deleted."
"Account was successfully saved","Account was successfully saved"
"Account","Account"
"Accounts","Accounts"
"Action","Action"
"Add Account","Add Account"
"Add Investment Period","Add Investment Period"
"Add Investment","Add Investment"
"An error occurred while updating the accounts.","An error occurred while updating the accounts."
"An error occurred while updating the investment periods.","An error occurred while updating the investment periods."
"An error occurred while updating the investments.","An error occurred while updating the investments."
"Are you sure?","Are you sure?"
"CSV","CSV"
"Change Account","Change Account"
"Change Investment Period","Change Investment Period"
"Change Read Only?","Change Read Only?"
"Change status","Change status"
"Code","Code"
"Could not find account to delete.","Could not find account to delete."
"Could not find investment period to delete.","Could not find investment period to delete."
"Could not find investment to delete.","Could not find investment to delete."
"Created at","Created at"
"Customer","Customer"
"Delete Account","Delete Account"
"Delete Investment Period","Delete Investment Period"
"Delete Investment","Delete Investment"
"Delete","Delete"
"Disabled","Disabled"
"Edit Account '%s'","Edit Account '%s'"
"Edit Investment '%s'","Edit Investment '%s'"
"Edit Investment Period '%s'","Edit Investment Period '%s'"
"Edit","Edit"
"Enabled","Enabled"
"End Date","End Date"
"Error saving account","Error saving account"
"Error saving investment period","Error saving investment period"
"Error saving investment","Error saving investment"
"Excel","Excel"
"Exchange","Exchange"
"Final Total Amount","Final Total Amount"
"Home","Home"
"Id","Id"
"Investment Period was saved","Investment Period was saved"
"Investment Period was successfully deleted.","Investment Period was successfully deleted."
"Investment Period was successfully saved","Investment Period was successfully saved"
"Investment Period","Investment Period"
"Investment Periods","Investment Periods"
"Investment Value","Investment Value"
"Investment was saved","Investment was saved"
"Investment was successfully deleted.","Investment was successfully deleted."
"Investment was successfully saved","Investment was successfully saved"
"Investment","Investment"
"Investments","Investments"
"Name","Name"
"No","No"
"None","None"
"Note","Note"
"Please select accounts to delete.","Please select accounts to delete."
"Please select accounts.","Please select accounts."
"Please select investment periods to delete.","Please select investment periods to delete."
"Please select investment periods.","Please select investment periods."
"Please select investments to delete.","Please select investments to delete."
"Please select investments.","Please select investments."
"Position","Position"
"Read Only?","Read Only?"
"Reset","Reset"
"Save Account","Save Account"
"Save And Continue Edit","Save And Continue Edit"
"Save Investment Period","Save Investment Period"
"Save Investment","Save Investment"
"Start Date","Start Date"
"Status","Status"
"Store views","Store views"
"The accounts has been deleted.","The accounts has been deleted."
"The investment periods has been deleted.","The investment periods has been deleted."
"The investments has been deleted.","The investments has been deleted."
"There was a problem saving the account.","There was a problem saving the account."
"There was a problem saving the investment period.","There was a problem saving the investment period."
"There was a problem saving the investment.","There was a problem saving the investment."
"There was an error deleting account.","There was an error deleting account."
"There was an error deleting accounts.","There was an error deleting accounts."
"There was an error deleting investment period.","There was an error deleting investment period."
"There was an error deleting investment periods.","There was an error deleting investment periods."
"There was an error deleting investment.","There was an error deleting investment."
"There was an error deleting investments.","There was an error deleting investments."
"There was an error updating accounts.","There was an error updating accounts."
"There was an error updating investment periods.","There was an error updating investment periods."
"There was an error updating investments.","There was an error updating investments."
"This account no longer exists.","This account no longer exists."
"This investment no longer exists.","This investment no longer exists."
"This investment period no longer exists.","This investment period no longer exists."
"Total Investment","Total Investment"
"Total of %d accounts were successfully deleted.","Total of %d accounts were successfully deleted."
"Total of %d accounts were successfully updated.","Total of %d accounts were successfully updated."
"Total of %d investment periods were successfully deleted.","Total of %d investment periods were successfully deleted."
"Total of %d investment periods were successfully updated.","Total of %d investment periods were successfully updated."
"Total of %d investments were successfully deleted.","Total of %d investments were successfully deleted."
"Total of %d investments were successfully updated.","Total of %d investments were successfully updated."
"Total of %d record(s) have been deleted.","Total of %d record(s) have been deleted."
"Total of %d record(s) have been updated.","Total of %d record(s) have been updated."
"USDT","USDT"
"Unable to find account to save.","Unable to find account to save."
"Unable to find investment period to save.","Unable to find investment period to save."
"Unable to find investment to save.","Unable to find investment to save."
"Updated at","Updated at"
"Use Breadcrumbs","Use Breadcrumbs"
"View {#name}","View {#name}"
"WYSIWYG Editor","WYSIWYG Editor"
"XML","XML"
"Yes","Yes"